segment_field,segment_value,n,win_rate,avg_p_win,precision,recall,f1
Account Region,NAM,15778,0.8107491443782482,0.8116008809461276,0.9535547873139937,0.991869918699187,0.9723350448310215
Account Region,EMEA,19462,0.8039255986024046,0.8039774445627881,0.9575585346265522,0.9906685414802505,0.9738321867244684
Account Region,APAC,5145,0.7811467444120506,0.7837639787485675,0.9600288947748615,0.9920378203533218,0.9757709251101322
Account Region,Unknown,13,0.0,0.03645166685470404,0.0,0.0,0.0
Assigned to Region,Yes,40398,0.8034308629140057,0.8041335528486429,0.9562516717686569,0.9913115814770311,0.973466053491468
